Area Name	Place Name	Location	Place Pop	Area Pop	What	In Dict
New York/Newark		NY/NJ/CT		18351295	Urbanized Area	y
	New York	NY	8175133		city 	y
	Newark	NJ	277140		city 	Y
Los Angeles/Long Beach/Anaheim		CA		12150996	Urbanized Area	Y
	Los Angeles	CA	3792621		city 	Y
	Long Beach	CA	462257		city 	Y
	Anaheim	CA	336265		city 	Y
Chicago		IL/IN		8608208	Urbanized Area	Y
	Chicago	IL	2695598		city 	Y
Miami		FL		5502379	Urbanized Area	Y
	Miami	FL	399457		city 	Y
Philadelphia		PA/NJ/DE/MD		5441567	Urbanized Area	Y
	Philadelphia	PA	1526006		city 	Y
Dallas/Fort Worth/Arlington		TX		5121892	Urbanized Area	y
	Dallas	TX	1197816		city 	Y
	Fort Worth	TX	741206		city 	y
	Arlington	TX	365438		city 	Y
Houston		TX		4944332	Urbanized Area	Y
	Houston	TX	2099451		city 	Y
Washington		DC/VA/MD		4586770	Urbanized Area	Y
	Washington	DC	601723		city 	Y
Atlanta		GA		4515419	Urbanized Area	Y
	Atlanta	GA	420003		city 	Y
Boston		MA/NH/RI		4181019	Urbanized Area	Y
	Boston	MA	617594		city 	Y
Detroit		MI		3734090	Urbanized Area	Y
	Detroit	MI	713777		city 	Y
Phoenix/Mesa		AZ		3629114	Urbanized Area	Y
	Phoenix	AZ	1445632		city 	Y
	Mesa	AZ	439041		city 	Y
San Francisco/Oakland		CA		3281212	Urbanized Area	Y
	San Francisco	CA	805235		city 	Y
	Oakland	CA	390724		city 	Y
Seattle		WA		3059393	Urbanized Area	Y
	Seattle	WA	608660		city 	Y
San Diego		CA		2956746	Urbanized Area	Y
	San Diego	CA	1307402		city 	Y
Minneapolis/St. Paul		MN/WI		2650890	Urbanized Area	Y
	Minneapolis	MN	382578		city 	Y
	St. Paul	MN	285068		city 	Y
Tampa/St. Petersburg		FL		2441770	Urbanized Area	p
	Tampa	FL	335709		city 	Y
	St. Petersburg	FL	244769		city 	p
Denver/Aurora		CO		2374203	Urbanized Area	Y
	Denver	CO	600158		city 	Y
	Aurora	CO	325078		city 	Y
Baltimore		MD		2203663	Urbanized Area	Y
	Baltimore	MD	620961		city 	Y
St. Louis		MO/IL		2150706	Urbanized Area	Y
	St. Louis	MO	319294		city 	Y
San Juan		PR		2148346	Urbanized Area	Y
	San Juan	PR	381931		zona urbana 	Y
Riverside/San Bernardino		CA		1932666	Urbanized Area	p
	Riverside	CA	303871		city 	Y
	San Bernardino	CA	209924		city 	p
