Pop	Y	y	p
18351295	0.8	0.1	0.05
2150706	0.9	0.05	0.05
1065219	0.7	0.2	0
720572	0.6	0.25	0.15
507643	0.65	0.1	0.05
381112	0.5	0.15	0.15
311810	0.55	0.15	0.1
266254	0.7	0.1	0.05
226400	0.45	0.25	0.1
198979	0.5	0.15	0.05
169495	0.4	0.1	0
149422	0.4	0.15	0.05
133683	0.3	0.25	0.05
120378	0.45	0.05	0.1
110769	0.45	0.2	0
99904	0.3	0.05	0.05
90897	0.55	0.15	0
85081	0.35	0.2	0.05
79796	0.45	0.1	0.1
73107	0.4	0.1	0.1
69014	0.2	0.15	0.1
65419	0.35	0.05	0.1
61270	0.25	0.25	0.05
56827	0.25	0.2	0
52745	0.2	0.25	0.05
49236	0.35	0.3	0
44927	0.35	0.05	0.05
42650	0.35	0.2	0.05
39445	0.2	0.25	0.1
36024	0.25	0.2	0
33428	0.3	0.35	0
32048	0.35	0.2	0.1
30287	0.35	0.15	0.05
29226	0.35	0.25	0
27987	0.35	0.25	0
26604	0.4	0.1	0
25819	0.25	0.1	0.1
25213	0.3	0.2	0
24122	0.4	0.1	0.05
22918	0.35	0.1	0.05
22324	0.35	0.25	0.05
21474	0.35	0.05	0.1
20806	0.4	0.1	0.05
20160	0.1	0.1	0.05
19228	0.15	0.2	0.1
18636	0.45	0.1	0
18166	0.2	0.15	0
17490	0.35	0.05	0
16858	0.25	0.25	0.05
16335	0.4	0.15	0
15907	0.55	0.05	0
15386	0.35	0.15	0.05
15125	0.45	0.05	0.05
14694	0.25	0.2	0
14316	0.5	0.25	0.05
14109	0.3	0.1	0.05
13742	0.3	0.2	0
13367	0.2	0.15	0.05
13083	0.3	0.15	0.05
12737	0.3	0.25	0
12468	0.45	0.1	0
12158	0.35	0.15	0
11898	0.3	0.15	0.05
11581	0.4	0.1	0
11373	0.35	0.2	0.05
11211	0.45	0.05	0
10997	0.25	0.25	0
10835	0.3	0.2	0.05
10572	0.45	0.25	0
10418	0.25	0.25	0
10177	0.4	0.05	0.05
9959	0.65	0.05	0.05
9765	0.2	0.2	0
9596	0.3	0.25	0
9460	0.5	0.15	0.05
9292	0.4	0.2	0
9166	0.3	0.1	0
8991	0.5	0.2	0.05
8747	0.25	0.2	0
8553	0.5	0.2	0.15
8430	0.5	0	0
8280	0.45	0.2	0
8171	0.4	0.15	0.05
7982	0.25	0.45	0
7849	0.4	0.15	0.05
7716	0.35	0.15	0
7601	0.2	0.2	0.05
7396	0.25	0.1	0
7281	0.1	0.25	0
7157	0.3	0.3	0
7055	0.3	0.25	0
6959	0.4	0.05	0
6854	0.4	0.1	0
6714	0.3	0.2	0
6624	0.25	0.2	0
6544	0.3	0.1	0
6471	0.5	0.15	0
6372	0.25	0.15	0
6300	0.5	0.2	0
6192	0.25	0.25	0
6118	0.15	0.1	0
6048	0.4	0.15	0
5953	0.4	0.05	0
5890	0.45	0.1	0.05
5816	0.25	0.2	0
5732	0.3	0.2	0
5624	0.3	0.3	0
5541	0.35	0.05	0
5469	0.3	0.25	0
5394	0.25	0.05	0
5357	0.35	0.35	0
5301	0.2	0.25	0
5218	0.55	0.1	0
5141	0.25	0.3	0
5057	0.4	0.05	0
5014	0.35	0.1	0
4942	0.35	0.15	0
4877	0.35	0.05	0
4812	0.15	0.15	0
4756	0.2	0.3	0
4681	0.5	0.1	0
4603	0.45	0.1	0
4559	0.45	0.1	0
4497	0.35	0.15	0
4454	0.2	0.25	0
4401	0.25	0.15	0
4351	0.4	0.2	0
4305	0.3	0.1	0
4251	0.15	0.1	0
4195	0.3	0.2	0
4157	0.45	0.2	0
4123	0.4	0	0
4079	0.3	0.1	0
4032	0.45	0.1	0
3959	0.15	0.15	0
3907	0.5	0	0
3875	0.4	0.15	0
3819	0.25	0.2	0
3775	0.35	0.25	0
3730	0.35	0.15	0
3692	0.5	0.05	0
3656	0.35	0.15	0
3626	0.4	0.15	0
3590	0.4	0.35	0
3562	0.35	0.15	0
3524	0.35	0.2	0
3500	0.2	0.2	0
3466	0.3	0.2	0
3434	0.2	0.2	0
3384	0.25	0.25	0
3348	0.15	0.25	0
3309	0.45	0.15	0
3286	0.4	0.1	0
3258	0.4	0.25	0
3220	0.25	0.3	0
3196	0.4	0.3	0
3165	0.4	0.1	0
3134	0.45	0.1	0
3105	0.25	0.15	0
3067	0.4	0.25	0
3032	0.25	0.25	0
3002	0.5	0.1	0
2973	0.2	0.15	0
2948	0.2	0.25	0
2921	0.3	0.15	0
2883	0.3	0.25	0
2843	0.15	0.3	0
2816	0.3	0.3	0
2786	0.6	0.05	0
2751	0.35	0.15	0
2724	0.5	0.15	0
2697	0.15	0.3	0
2670	0.35	0.15	0
2651	0.2	0.3	0
2631	0.4	0.1	0
2608	0.4	0.3	0
2583	0.35	0.2	0
2565	0.45	0.15	0
2542	0.4	0.1	0
2517	0.35	0.15	0
